Time [h],Current [A],Terminal voltage [V],Discharge capacity [A.h],X-averaged cell temperature [K]
3.85,0.1361232,3.663535990911181,0.5240743199999992,298.15
3.8666666666666667,0.1361232,3.6633439955298592,0.5263430399999992,298.15
3.8833333333333337,0.1361232,3.663148793126846,0.5286117599999992,298.15
3.9,0.1361232,3.6629503877158993,0.5308804799999992,298.15
3.916666666666667,0.1361232,3.662748728401195,0.5331491999999992,298.15
3.933333333333333,0.1361232,3.6625437364861075,0.5354179199999992,298.15
3.95,0.1361232,3.662335320627302,0.5376866399999992,298.15
3.966666666666667,0.1361232,3.6621233259693655,0.5399553599999992,298.15
3.983333333333333,0.1361232,3.6619075764007154,0.5422240799999992,298.15
4.0,0.1361232,3.661687822240558,0.5444927999999992,298.15
4.016666666666667,0.1361232,3.6614638006451434,0.5467615199999992,298.15
4.033333333333333,0.1361232,3.661235208485206,0.5490302399999992,298.15
4.05,0.1361232,3.6610015916529877,0.5512989599999992,298.15
4.066666666666667,0.1361232,3.6607625914233943,0.5535676799999992,298.15
4.083333333333333,0.1361232,3.660517659605487,0.5558363999999992,298.15
4.1000000000000005,0.1361232,3.660266129064608,0.5581051199999992,298.15
4.116666666666667,0.1361232,3.660007347478036,0.5603738399999992,298.15
4.133333333333333,0.1361232,3.659740577492123,0.5626425599999992,298.15
4.15,0.1361232,3.6594647975968027,0.5649112799999992,298.15
4.166666666666667,0.1361232,3.6591789810286888,0.5671799999999992,298.15
4.183333333333334,0.1361232,3.6588820395162345,0.5694487199999992,298.15
4.2,0.1361232,3.658572203642666,0.5717174399999992,298.15
4.216666666666667,0.1361232,3.658248071983783,0.5739861599999992,298.15
4.233333333333333,0.1361232,3.6579075946676793,0.5762548799999992,298.15
4.25,0.1361232,3.6575484555054714,0.5785235999999992,298.15
4.266666666666667,0.1361232,3.6571679802999966,0.5807923199999993,298.15
4.283333333333333,0.1361232,3.656763011569664,0.5830610399999993,298.15
4.3,0.1361232,3.6563299155768543,0.5853297599999993,298.15
4.316666666666666,0.1361232,3.6558645003542827,0.5875984799999993,298.15
4.333333333333334,0.1361232,3.6553620711411137,0.5898671999999993,298.15
4.35,0.1361232,3.654817513193406,0.5921359199999993,298.15
4.366666666666667,0.1361232,3.654225162918314,0.5944046399999993,298.15
4.383333333333334,0.1361232,3.653579266527515,0.5966733599999993,298.15
4.4,0.1361232,3.652873774105673,0.5989420799999993,298.15
4.416666666666667,0.1361232,3.6521023905431393,0.6012107999999993,298.15
4.433333333333334,0.1361232,3.651258984925235,0.6034795199999993,298.15
4.45,0.1361232,3.6503367726265847,0.6057482399999993,298.15
4.466666666666667,0.1361232,3.649328885132824,0.6080169599999993,298.15
4.483333333333333,0.1361232,3.6482278174996883,0.6102856799999993,298.15
4.5,0.1361232,3.647025421065297,0.6125543999999993,298.15
4.5166666666666675,0.1361232,3.6457127088805246,0.6148231199999993,298.15
4.533333333333333,0.1361232,3.6442796473969725,0.6170918399999993,298.15
4.550000000000001,0.1361232,3.642715025469705,0.6193605599999993,298.15
4.566666666666666,0.1361232,3.6410061510132263,0.6216292799999993,298.15
4.583333333333333,0.1361232,3.639138705714316,0.6238979999999993,298.15
4.6000000000000005,0.1361232,3.637096458264695,0.6261667199999993,298.15
4.616666666666666,0.1361232,3.634860932752421,0.6284354399999993,298.15
4.633333333333334,0.1361232,3.6324109335203616,0.6307041599999993,298.15
4.65,0.1361232,3.629722607475243,0.6329728799999993,298.15
4.666666666666667,0.1361232,3.6267681357672914,0.6352415999999993,298.15
4.683333333333334,0.1361232,3.6235165884620613,0.6375103199999993,298.15
4.7,0.1361232,3.6199323386287126,0.6397790399999993,298.15
4.716666666666667,0.1361232,3.615974867730352,0.6420477599999993,298.15
4.733333333333333,0.1361232,3.6115988456724355,0.6443164799999993,298.15
4.75,0.1361232,3.6067523198690448,0.6465851999999993,298.15
4.766666666666667,0.1361232,3.601377602567094,0.6488539199999993,298.15
4.783333333333334,0.1361232,3.5954097609393294,0.6511226399999993,298.15
4.8,0.1361232,3.588776129151195,0.6533913599999993,298.15
4.816666666666667,0.1361232,3.581395703589796,0.6556600799999993,298.15
